name,Beauly,Peterhead,Errochty,Denny/Bonnybridge,Neilston,Strathaven,Torness,Eccles,Harker,Stella West,Penwortham,Deeside,Daines,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Keadby,Ratcliffe,Feckenham,Walpole,Bramford,Pelham,Sundon/East Claydon,Melksham,Bramley,London,Kemsley,Sellindge,Lovedean,S.W.Penisula
14/03/2022 19:00,238.1428617,312.6876375,90.67309314,778.2349209,964.4424236,258.2301386,237.197879,73.73881899,326.1770857,1775.531397,925.437786,1962.65634,1720.012842,1599.360647,1262.31003,486.8234941,1234.866184,2655.145062,721.5169393,860.6543342,493.158354,1775.257936,2691.830197,842.1166716,5634.646102,919.6465698,472.7700729,1238.630376,1641.109079
14/03/2022 20:00,221.0141066,290.1971462,84.15130535,722.2592965,895.0735667,239.6565783,220.1370931,68.43505232,302.7163471,1647.823843,858.8743916,1821.489565,1596.298536,1484.324418,1171.516633,451.8080401,1146.046724,2464.170077,669.6208343,798.7505794,457.6872565,1647.57005,2498.216582,781.5462638,5229.366378,853.4997167,438.7654307,1149.540171,1523.070036
14/03/2022 21:00,204.0043496,267.8629024,77.67482619,666.67255,826.1866341,221.2120536,203.1948331,63.16813236,279.4185966,1521.003507,792.7734313,1681.303513,1473.443708,1370.087376,1081.354003,417.035848,1057.844316,2274.521846,618.0852656,737.2768867,422.4625863,1520.769247,2305.948054,721.3966551,4826.902242,787.8124038,404.997028,1061.0689,1405.851042
14/03/2022 22:00,187.2482838,245.8617616,71.29494015,611.9148491,758.3271122,203.0426187,186.5052575,57.9797656,256.4683193,1396.074627,727.6583304,1543.20826,1352.421191,1257.554117,992.5360979,382.782264,970.9573991,2087.702115,567.3183216,676.7200403,387.7632727,1395.859608,2116.547105,662.1441447,4430.440638,723.104781,371.7322624,973.9171289,1290.380305
14/03/2022 23:00,177.983238,233.6965206,67.76726624,581.6373,720.8050837,192.9960692,177.2769767,55.11092658,243.7782659,1326.996849,691.6537934,1466.850309,1285.503385,1195.330335,943.4254079,363.8421961,922.9144232,1984.402606,539.2474088,643.2359301,368.5767444,1326.79247,2011.820346,629.3812498,4211.222418,687.3255536,353.3389486,925.7277055,1226.532283
15/03/2022 00:00,177.2668413,232.7558735,67.4944976,579.2961636,717.9037858,192.2192446,176.5634227,54.88910071,242.7970389,1321.655581,688.8698318,1460.94612,1280.329132,1190.519035,939.6280455,362.3777023,919.1996191,1976.415227,537.076895,640.6468543,367.0931937,1321.452024,2003.722609,626.8479402,4194.271912,684.5590135,351.9167312,922.0015778,1221.595392
15/03/2022 01:00,159.4368388,209.3446266,60.70570931,521.0289099,645.6949839,172.885287,158.8041721,49.36819905,218.3758231,1188.719709,619.5813474,1314.000009,1151.549991,1070.773249,845.1175877,325.9287237,826.7439105,1777.62177,483.0561754,576.2087739,330.1699175,1188.536626,1802.182497,563.7977938,3772.400129,615.7041234,316.5199468,829.2640402,1098.723858
15/03/2022 02:00,150.4079672,197.4894884,57.2679589,491.5231621,609.1294249,163.0948328,149.8111283,46.57248925,206.0092503,1121.402784,584.4945976,1239.58849,1086.337979,1010.135605,797.2587723,307.4714547,779.9255922,1676.955456,455.7008148,543.5782031,311.4724707,1121.230069,1700.125315,531.8700539,3558.769974,580.83694,298.5954947,782.3030076,1036.503378
15/03/2022 03:00,149.9368508,196.8709005,57.08858093,489.9835852,607.2214749,162.5839778,149.3418813,46.42661223,205.3639763,1117.890262,582.6638102,1235.70578,1082.935289,1006.971601,794.7615528,306.508375,777.4826647,1671.702801,454.2734427,541.8755763,310.4968589,1117.718088,1694.800086,530.2041001,3547.622992,579.0176093,297.6602169,779.8526334,1033.256782
15/03/2022 04:00,139.1725207,182.7370613,52.99005329,454.8064757,563.627573,150.9116799,138.6202655,43.09353318,190.6203985,1037.63421,540.8329626,1146.991466,1005.188739,934.678668,737.7036941,284.5033957,721.6652992,1551.687204,421.6600509,502.973015,288.2055366,1037.474397,1573.126278,492.1394623,3292.930536,537.4485313,276.2904682,723.8651221,959.0767729
15/03/2022 05:00,139.8425301,183.6168007,53.24515994,456.9960216,566.3410094,151.6382044,139.2876163,43.30099564,191.5380902,1042.629626,543.4366604,1152.513354,1010.027955,939.1784322,741.2551741,285.8730623,725.1395667,1559.157393,423.6900221,505.394446,289.5930262,1042.469044,1580.69968,494.5087381,3308.783482,540.0359357,277.6205959,727.34998,963.6939953
15/03/2022 06:00,161.5180522,212.0773128,61.49813305,527.830176,654.1235821,175.1420501,160.877127,50.01262827,221.2263982,1204.236696,627.6690705,1331.152347,1166.581782,1084.750619,856.1493547,330.1832437,837.5358361,1800.826007,489.3617632,583.7303319,334.4798001,1204.051223,1825.707339,571.1573447,3821.643264,623.7412351,320.6516491,840.0888624,1113.066082
15/03/2022 07:00,185.2740092,243.2694888,70.54323347,605.4630521,750.3316001,200.9018147,184.5388172,57.36844905,253.7642151,1381.354948,719.9861782,1526.93726,1338.161777,1244.294946,982.0711755,378.7463537,960.7199942,2065.690179,561.3367333,669.5849621,383.6748445,1381.142197,2094.231039,655.1627491,4383.72776,715.4806397,367.8128591,963.6485178,1276.775027
15/03/2022 08:00,200.992174,263.9078392,76.52793783,656.8289619,813.9877805,217.9458019,200.1946102,62.23543898,275.2929107,1498.545507,781.067932,1656.478644,1451.68794,1349.857691,1065.387538,410.8782087,1042.224979,2240.937959,608.9590811,726.3908079,416.2248199,1498.314707,2271.90015,710.7450519,4755.631816,776.1801553,399.0171449,1045.40195,1385.093298
15/03/2022 09:00,205.8748609,270.3189313,78.38702491,672.7852554,833.7619206,223.2403419,205.0579219,63.74731953,281.9805794,1534.949554,800.0423529,1696.719347,1486.95368,1382.649676,1091.268913,420.8596403,1067.543667,2295.376885,623.7524754,744.0369618,426.3361362,1534.713146,2327.091239,728.0111246,4871.159999,795.0358378,408.7104366,1070.797816,1418.741258
15/03/2022 10:00,207.0285353,271.8337352,78.82628742,676.5553863,838.434127,224.4913284,206.2070184,64.10454456,283.5607325,1543.551051,804.5256027,1706.227365,1495.286219,1390.397721,1097.384128,423.218039,1073.525931,2308.239639,627.2478381,748.2063705,428.7252239,1543.313319,2340.131713,732.0907283,4898.456838,799.4910323,411.0007541,1076.798316,1426.691552
15/03/2022 11:00,206.9411409,271.7189842,78.79301194,676.2697873,838.080193,224.3965623,206.1199708,64.07748367,283.441031,1542.899461,804.1859828,1705.507103,1494.655004,1389.810783,1096.920882,423.0393831,1073.072756,2307.265246,626.9830536,747.890525,428.5442432,1542.661829,2339.143857,731.7816858,4896.389019,799.1535377,410.8272555,1076.34376,1426.089293
15/03/2022 12:00,205.4738926,269.7924498,78.23435593,671.4749182,832.1380602,222.8055521,204.6585448,63.62316329,281.4313853,1531.960039,798.4841658,1693.414764,1484.057643,1379.956785,1089.143524,420.0399611,1065.464486,2290.906339,622.5376359,742.5878525,425.5057908,1531.724091,2322.558925,726.5932278,4861.672778,793.4874016,407.9144195,1068.712298,1415.978074
15/03/2022 13:00,206.4792485,271.1125076,78.617146,674.7603537,836.2095987,223.8957094,205.6599112,63.93446278,282.8083909,1539.455711,802.3910403,1701.700413,1491.318935,1386.708726,1094.472555,422.0951595,1070.677659,2302.115432,625.5836279,746.2212339,427.5877328,1539.218609,2333.92289,730.1483497,4885.460283,797.3698276,409.9102894,1073.941362,1422.906263
